name,id
LASER单曲·《亡命之徒》,10004101
音乐特辑·《亡命之徒》,10004445
MANTA单曲·《谜宫》,10040677
音乐特辑·《Killing Love》,10054256
林致生日小剧场·追光者,10076003
顾子尧生日小剧场·王牌飞行员,10208532
概念预告·无限可能,10233665
预告·落日宴我,10253047
第一集·金猫奖,10265583
第二集·猎人,10265591
第三集·顶级掠食者,10288890
梦系列小剧场01·庄周,10293112
第四集·OUT,10312039
梦系列小剧场02·黄粱,10319950
第五集·破风手,10342355
夏予扬生日小剧场·凡星·微火,10346300
LASER圣诞特辑·水晶鞋与四勇者,10360901
MANTA圣诞特辑·胡桃夹子和礼物,10362323
第六集·翻否,10369619
元旦特辑·大头喵职场生存指南,10388931
第七集·Action,10396288
第八集·红白原声带,10419315
乔殊生日小剧场·妙笔生花,10422623
第九集·你相信光吗,10446553
MANTA日常特辑·野蛮生长,10450000
【投喂语音】花絮·顾子尧,10454363
【投喂语音】花絮·林致,10454366
【投喂语音】花絮·乔殊,10454371
【投喂语音】花絮·夏予扬,10454373
【投喂语音】花絮·柏闻,10454375
【投喂语音】花絮·江恪,10454379
【投喂语音】花絮·季少一,10454384
【投喂语音】花絮·许向安,10454393
【投喂语音】花絮·许向宁,10454395
第十集·红签歌王,10471306
LASER单曲·生于将熄,10473834
音乐特辑·王车易位（上）,10474083
音乐特辑·王车易位（下）,10474092
LASER除夕特辑·阖家欢,10482568
MANTA除夕特辑·庆团圆,10482575
第十一集·莫向外求,10489977
LASER日常特辑·你还追着光吗,10492714
弦单曲·开山,10494648
第十二集·抢7,10509081
MANTA单曲·当问,10512025
音乐特辑·娑婆劫（上）,10512336
音乐特辑·娑婆劫（下）,10512343
情人节：顾子尧·如狼在野,10535089
情人节：林致·丛鹿夜奔,10535095
情人节：乔殊·猫鼠游戏,10535097
情人节：夏予扬·狮心诱陷,10535101
情人节：柏闻·恬梦惊蛇,10535112
情人节：江恪·与豹谋皮,10535116
情人节：季少一·业狐杀过,10535121
情人节：许向安·犬野猎心,10535123
情人节：许向宁·笼鸟自囚,10535134
第十三集·宿敌,10535491
O.N单曲·O.N,10540011
第十四集·舆论,10562273
第十五集·往事,10593778
第十六集·团魂,10624552
第十七集·长春见,10657939
梦系列小剧场03·魂牵,10690578
梦系列小剧场04·浮生,10722305
第十八集·入戏,10763536
第十九集·饮冰,10800418
第二十集·怀火,10830152
季少一生日小剧场·木工达人,10831072
第二十一集·奖杯,10866528
梦系列小剧场05·初醒,10933140
梦系列小剧场06·白日,10973069
